start,end,length,type,first_value
11017,11270,254,LOW,204.9949245911522
12447,12846,400,LOW,204.98642413643023
13525,13623,99,LOW,204.98871654483744
23990,24231,242,LOW,204.9750262422796
25171,25342,172,LOW,204.98131152495912
25404,25702,299,LOW,204.9831422342242
25705,25707,3,LOW,204.99755428003328
25902,25911,10,LOW,204.98006815036288
26695,26748,54,LOW,204.97984602545424
27137,27158,22,LOW,204.9843557740573
