mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
diff,r0p25,25,0.7142857142857143,0.013843648208469055,11.100000000000001,10
diff,r0p25,30,0.725,0.012520868113522538,12.0,9
diff2,r0p25,10,0.7227722772277227,0.08363636363636363,10.392857142857142,28
diff2,r0p25,15,0.7105263157894737,0.08282208588957055,11.0,18
diff2,r0p25,20,0.7037037037037037,0.07936507936507936,11.307692307692307,13
diff2,r0p25,25,0.7142857142857143,0.0781758957654723,11.7,10
diff2,r0p25,30,0.725,0.07679465776293823,12.666666666666668,9
union,r0p25,10,0.7821782178217822,0.088,10.607142857142858,28
union,r0p25,15,0.7894736842105263,0.08588957055214724,11.5,18
union,r0p25,20,0.7962962962962963,0.08253968253968254,11.769230769230768,13
union,r0p25,25,0.8333333333333334,0.08061889250814332,12.299999999999999,10
union,r0p25,30,0.85,0.07846410684474124,13.333333333333334,9
Time-MoE,r0p25,10,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Time-MoE,r0p25,15,0.3815789473684211,0.006901840490797546,7.153846153846153,13
Time-MoE,r0p25,20,0.3333333333333333,0.0031746031746031746,7.5,8
Time-MoE,r0p25,25,0.30952380952380953,0.0024429967426710096,7.800000000000001,5
Time-MoE,r0p25,30,0.3,0.001669449081803005,9.0,4
Sundial,r0p25,10,0.33663366336633666,0.004363636363636364,7.764705882352942,17
Sundial,r0p25,15,0.3157894736842105,0.0023006134969325155,7.5,10
Sundial,r0p25,20,0.24074074074074073,0.0015873015873015873,8.399999999999999,5
Sundial,r0p25,25,0.21428571428571427,0.0016286644951140066,10.0,3
Sundial,r0p25,30,0.225,0.0008347245409015025,10.0,3
CNNLSTM,r0p25,10,0.06930693069306931,0.0007272727272727272,4.0,6
CNNLSTM,r0p25,15,0.039473684210526314,0.0007668711656441718,4.0,3
CNNLSTM,r0p25,20,0.037037037037037035,0.0007936507936507937,4.5,2
CNNLSTM,r0p25,25,0.047619047619047616,0.0008143322475570033,4.5,2
CNNLSTM,r0p25,30,0.025,0.0,6.0,1
DiPCALSTM,r0p25,10,0.09900990099009901,0.0007272727272727272,5.0,6
DiPCALSTM,r0p25,15,0.10526315789473684,0.0007668711656441718,6.0,4
DiPCALSTM,r0p25,20,0.12962962962962962,0.0007936507936507937,7.0,3
